1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
-24,-39,-38,-51,-58,-58,-48,-46,-58,-53,-51,-58,-49,-51,-51,-53,-61,-55,-60,-54,-63
-18,-43,-39,-50,-59,-58,-46,-48,-59,-55,-50,-59,-51,-51,-53,-55,-48,-54,-60,-53,-62
-18,-38,-38,-49,-75,-49,-42,-47,-54,-51,-51,-49,-52,-49,-53,-52,-48,-54,-61,-54,-56
-18,-38,-40,-49,-57,-49,-44,-58,-54,-51,-52,-57,-51,-49,-55,-53,-48,-55,-65,-68,-64
-18,-40,-38,-48,-57,-48,-48,-46,-54,-52,-53,-54,-50,-49,-55,-55,-48,-55,-59,-55,-64
-18,-39,-38,-45,-73,-50,-44,-46,-54,-52,-50,-56,-53,-49,-55,-57,-48,-55,-66,-56,-64
-18,-39,-38,-45,-54,-50,-44,-46,-53,-51,-60,-62,-53,-49,-57,-76,-59,-53,-69,-55,-64
-18,-39,-38,-45,-52,-47,-44,-45,-57,-52,-51,-58,-51,-49,-55,-46,-62,-54,-66,-57,-65
-18,-34,-39,-45,-52,-50,-43,-46,-57,-51,-54,-55,-51,-51,-55,-56,-54,-57,-67,-56,-63
-18,-34,-39,-50,-55,-52,-43,-46,-57,-55,-53,-61,-52,-51,-50,-54,-52,-56,-57,-54,-56
-18,-34,-39,-45,-55,-53,-44,-46,-57,-51,-52,-59,-49,-51,-56,-56,-57,-55,-58,-54,-56
-25,-36,-37,-45,-52,-52,-44,-46,-57,-56,-50,-55,-47,-79,-51,-56,-51,-54,-62,-53,-57
-18,-36,-38,-45,-51,-50,-43,-48,-56,-49,-51,-58,-47,-50,-58,-58,-53,-53,-59,-55,-56
-18,-36,-39,-46,-51,-50,-44,-47,-57,-53,-54,-58,-47,-80,-51,-51,-54,-55,-56,-55,-63
-18,-36,-40,-45,-51,-50,-43,-49,-54,-50,-51,-57,-47,-50,-56,-51,-53,-53,-56,-52,-64
-18,-36,-39,-46,-50,-49,-44,-49,-54,-50,-48,-58,-47,-52,-68,-54,-55,-53,-58,-53,-63
-18,-36,-40,-45,-52,-50,-43,-46,-52,-50,-55,-62,-48,-54,-50,-52,-57,-53,-58,-55,-63
-25,-36,-41,-45,-45,-48,-44,-46,-52,-49,-52,-61,-47,-52,-54,-55,-53,-53,-64,-59,-63
-24,-39,-40,-45,-49,-48,-43,-44,-54,-49,-55,-60,-48,-51,-54,-52,-54,-53,-63,-58,-63
-23,-37,-40,-45,-54,-48,-46,-43,-51,-52,-54,-57,-47,-51,-51,-55,-51,-53,-63,-54,-65
-28,-39,-39,-45,-40,-50,-45,-47,-52,-49,-55,-59,-48,-50,-55,-52,-52,-53,-46,-54,-63
-23,-44,-37,-49,-42,-50,-40,-48,-52,-52,-51,-60,-49,-50,-55,-54,-53,-52,-65,-52,-62
-26,-44,-39,-48,-42,-48,-40,-45,-52,-50,-50,-57,-49,-49,-51,-53,-60,-56,-58,-54,-60
-26,-40,-39,-51,-42,-50,-40,-44,-52,-52,-50,-56,-49,-51,-51,-53,-64,-57,-60,-55,-61
-26,-41,-40,-49,-43,-49,-40,-44,-54,-51,-51,-62,-50,-50,-51,-54,-67,-57,-62,-54,-59
-24,-39,-38,-49,-42,-51,-40,-44,-53,-50,-52,-58,-49,-51,-52,-55,-56,-55,-63,-58,-59
-24,-39,-38,-76,-42,-51,-48,-45,-52,-56,-53,-66,-52,-52,-52,-53,-58,-55,-61,-63,-60
-24,-40,-38,-77,-41,-48,-50,-44,-52,-48,-50,-60,-55,-51,-55,-55,-60,-55,-63,-69,-59
-24,-41,-38,-50,-42,-50,-63,-52,-52,-54,-50,-60,-52,-51,-52,-54,-61,-55,-62,-69,-60
-26,-41,-38,-50,-49,-49,-45,-45,-55,-50,-50,-57,-52,-53,-52,-55,-60,-55,-60,-56,-61
-26,-39,-38,-79,-51,-49,-48,-46,-52,-51,-49,-62,-53,-53,-55,-53,-58,-55,-64,-55,-60
-26,-40,-38,-53,-57,-47,-49,-45,-52,-50,-50,-57,-53,-54,-55,-53,-59,-56,-59,-56,-61
-26,-37,-38,-52,-57,-57,-48,-45,-52,-51,-49,-59,-52,-54,-55,-52,-61,-55,-60,-57,-62
-25,-38,-38,-54,-47,-51,-43,-46,-53,-54,-52,-56,-51,-52,-55,-53,-56,-52,-60,-55,-62
-30,-39,-38,-51,-50,-52,-43,-46,-52,-53,-49,-61,-49,-50,-69,-54,-55,-52,-62,-53,-62
-26,-40,-40,-47,-51,-52,-43,-45,-53,-53,-50,-58,-50,-51,-52,-53,-55,-53,-60,-58,-62
-26,-40,-38,-49,-53,-52,-43,-45,-53,-53,-56,-58,-52,-76,-55,-51,-55,-53,-62,-56,-62
-27,-42,-38,-46,-52,-52,-43,-45,-53,-52,-51,-60,-53,-50,-52,-56,-56,-53,-60,-54,-61
-26,-39,-39,-54,-52,-53,-48,-45,-53,-48,-51,-58,-51,-50,-52,-53,-62,-53,-61,-61,-69
-26,-40,-39,-49,-51,-52,-52,-45,-57,-57,-51,-60,-51,-50,-53,-54,-59,-53,-59,-55,-63
-26,-38,-39,-49,-53,-53,-51,-46,-55,-51,-52,-60,-51,-51,-53,-54,-60,-56,-62,-54,-64
-23,-35,-40,-53,-51,-51,-49,-45,-55,-52,-52,-70,-51,-52,-55,-53,-58,-54,-61,-53,-63
-23,-35,-39,-50,-51,-51,-47,-45,-57,-53,-52,-59,-51,-48,-53,-53,-66,-57,-62,-53,-61
-23,-34,-39,-55,-57,-51,-46,-43,-54,-51,-50,-61,-54,-48,-55,-53,-58,-58,-63,-57,-68
-22,-35,-39,-47,-54,-51,-53,-44,-53,-50,-52,-59,-50,-48,-53,-54,-61,-56,-45,-56,-63
-22,-35,-39,-57,-52,-52,-47,-44,-54,-50,-51,-60,-49,-48,-53,-55,-56,-77,-61,-55,-63
-25,-36,-39,-78,-49,-51,-49,-44,-57,-51,-51,-58,-51,-48,-55,-53,-60,-57,-60,-53,-69
-27,-38,-39,-77,-53,-51,-51,-43,-54,-53,-51,-59,-49,-48,-55,-53,-63,-56,-60,-56,-67
-25,-35,-39,-47,-51,-51,-52,-44,-63,-52,-51,-59,-50,-53,-52,-53,-61,-56,-61,-54,-66
-24,-34,-39,-51,-54,-51,-53,-44,-58,-50,-51,-58,-51,-53,-54,-53,-63,-54,-59,-57,-66
-25,-34,-39,-55,-55,-51,-50,-43,-52,-52,-75,-59,-51,-54,-53,-53,-62,-57,-55,-54,-57
-27,-35,-39,-76,-59,-49,-48,-41,-56,-51,-52,-63,-51,-53,-71,-54,-69,-55,-55,-53,-57
-26,-35,-39,-52,-51,-47,-46,-43,-56,-52,-50,-58,-52,-51,-53,-54,-64,-57,-60,-52,-64
-26,-35,-39,-77,-52,-47,-46,-43,-57,-51,-52,-58,-52,-51,-52,-54,-65,-55,-62,-54,-57
-27,-39,-39,-77,-58,-51,-49,-44,-57,-51,-52,-57,-52,-50,-73,-52,-66,-60,-62,-54,-64
-30,-39,-38,-77,-54,-59,-48,-45,-60,-52,-52,-57,-53,-51,-54,-54,-69,-55,-61,-57,-65
-26,-42,-39,-72,-54,-55,-45,-43,-66,-52,-51,-54,-50,-50,-55,-71,-60,-55,-60,-55,-68
-32,-39,-38,-72,-52,-53,-48,-44,-55,-52,-51,-54,-50,-50,-55,-54,-64,-55,-57,-54,-66
